Value Set Name,Code System,Code,Code Description
CT Scan,SNOMEDCT,77477000,Computerized axial tomography (procedure)
CT Scan,SNOMEDCT,69657008,CT additional views
CT Scan,SNOMEDCT,303671000,CT of abdominal vascular structures
CT Scan,SNOMEDCT,931371000000100,CT for patella tracking
CT Scan,SNOMEDCT,429926006,CT of middle ear
CT Scan,SNOMEDCT,839891000000102,CT arthrography of hip with contrast
CT Scan,SNOMEDCT,431665001,CT of hip with contrast
CT Scan,SNOMEDCT,430440000,CT of orbit for radiotherapy planning
CT Scan,SNOMEDCT,241565008,CT of upper arm
CT Scan,SNOMEDCT,425666002,Computed tomography of colon
CT Scan,SNOMEDCT,446185002,Forensic computed tomography
CT Scan,SNOMEDCT,443234008,Positron emission tomography with computed tomography fluorine 18 choline uptake study
CT Scan,SNOMEDCT,241585007,CT arthrogram of wrist
CT Scan,SNOMEDCT,711311007,CT of sinus of pelvis
CT Scan,SNOMEDCT,241553009,CT of abdominal aorta
CT Scan,SNOMEDCT,448345006,CT perfusion study of thorax
CT Scan,SNOMEDCT,443237001,Single photon emission computed tomography with computed tomography of perfusion of lung
CT Scan,SNOMEDCT,418891003,CT of chest and abdomen
CT Scan,SNOMEDCT,829721000000109,CT guided insertion of fiducial marker into liver
CT Scan,SNOMEDCT,417911000,CT and aspiration of chest
CT Scan,SNOMEDCT,432552002,CT of clavicle
CT Scan,SNOMEDCT,429869002,CT of temporal bone
CT Scan,SNOMEDCT,709664008,CT of nasal bone
CT Scan,SNOMEDCT,419940006,CT and biopsy of abdomen
CT Scan,SNOMEDCT,446564006,CT of inguinal region
CT Scan,SNOMEDCT,241588009,CT arthrogram of ankle
CT Scan,SNOMEDCT,709632001,CT guided biopsy of ureter
CT Scan,SNOMEDCT,911771000000107,CT of transplanted liver
CT Scan,SNOMEDCT,702506003,Computed tomography of sternoclavicular joint with contrast
CT Scan,SNOMEDCT,429932001,CT guided biopsy of lung
CT Scan,SNOMEDCT,702494005,Computed tomography of elbow with contrast
CT Scan,SNOMEDCT,241570001,CT of lower limb
CT Scan,SNOMEDCT,420017001,CT angiography of aortic arch and carotid arteries
CT Scan,SNOMEDCT,709552006,CT angiography of iliac artery
CT Scan,SNOMEDCT,431326009,CT of neck with contrast
CT Scan,SNOMEDCT,702765004,Computed axial tomography of head and sella turcica with contrast
CT Scan,SNOMEDCT,858161000000109,Electrocardiography gated CT of thorax
CT Scan,SNOMEDCT,419381009,CT of mastoid
CT Scan,SNOMEDCT,71040008,"Computerized tomography, follow-up"
CT Scan,SNOMEDCT,429857005,CT of internal auditory meatus with contrast
CT Scan,SNOMEDCT,241534004,CT submandibular sialogram
