Value Set Name,Code System,Code,Code Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adolescent depression screening,LOINC,73831-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult depression screening,LOINC,73832-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Common Baker's Yeast,SNOMEDCT,34015007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Common Baker's Yeast,SNOMEDCT,419447004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Diphtheria Vaccine,CVX,12,diphtheria antitoxin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Diphtheria Vaccine,SNOMEDCT,293108006,Diphtheria and tetanus vaccine adverse reaction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Diphtheria Vaccine,SNOMEDCT,428000000000000,Anaphylaxis due to diphtheria and tetanus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,106,"diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,110,DTaP-hepatitis B and poliovirus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,120,"diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,130,"Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,20,"diphtheria, tetanus toxoids and acellular pertussis vaccine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,CVX,50,DTaP-Haemophilus influenzae type b conjugate vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,SNOMEDCT,219084006,Adverse reaction to tetanus vaccine (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,SNOMEDCT,293108006,Diphtheria and tetanus vaccine adverse reaction (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,SNOMEDCT,428000000000000,Anaphylaxis due to diphtheria and tetanus vaccine (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to DTaP Vaccine,SNOMEDCT,428000000000000,"Anaphylaxis due to tetanus, diphtheria and acellular pertussis vaccine (disorder)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,8,"hepatitis B vaccine, pediatric or pediatric/adolescent dosage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,104,hepatitis A and hepatitis B vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,110,DTaP-hepatitis B and poliovirus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,44,"hepatitis B vaccine, dialysis patient dosage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,CVX,51,Haemophilus influenzae type b conjugate and Hepatitis B vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Hepatitis B Vaccine,SNOMEDCT,428000000000000,Anaphylaxis due to Hepatitis B vaccine (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,SNOMEDCT,434000000000000,Anaphylaxis due to Haemophilus influenzae type b vaccine (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,120,"diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,48,"Haemophilus influenzae type b vaccine, PRP-T conjugate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,49,"Haemophilus influenzae type b vaccine, PRP-OMP conjugate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,50,DTaP-Haemophilus influenzae type b conjugate vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HiB Vaccine,CVX,51,Haemophilus influenzae type b conjugate and Hepatitis B vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,RXNORM,798271,HPV Vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,RXNORM,1597099,HPV Vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,CVX,118,"HPV, bivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,CVX,137,"HPV, unspecified formulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,CVX,165,HPV9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to HPV Vaccine,CVX,62,"HPV, quadrivalent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Inactivated Polio Vaccine,CVX,10,"poliovirus vaccine, inactivated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Inactivated Polio Vaccine,CVX,110,DTaP-hepatitis B and poliovirus vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Inactivated Polio Vaccine,CVX,130,"Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Inactivated Polio Vaccine,SNOMEDCT,293117006,Poliomyelitis vaccine adverse reaction (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to influenza vaccination,SNOMEDCT,294649000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to influenza vaccination,SNOMEDCT,294648008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to influenza vaccination,SNOMEDCT,294647003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,163,"meningococcal B vaccine, recombinant, OMV, adjuvanted",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,162,"meningococcal B vaccine, fully recombinant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,164,"meningococcal B, unspecified formulation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,103,meningococcal C conjugate vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,148,Meningococcal Groups C and Y and Haemophilus b Tetanus Toxoid Conjugate Vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,CVX,167,meningococcal vaccine of unknown formulation and unknown serogroups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,SNOMEDCT,294665004,Meningococcal polysaccharide vaccine allergy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Meningococcal Vaccine,RXNORM,108542,Meningitis vaccine ingredients,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,3,"measles, mumps and rubella virus vaccine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,94,"measles, mumps, rubella, and varicella virus vaccine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,5,measles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,7,mumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,6,rubella vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to MMR Vaccine,CVX,38,rubella/mumps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Neomycin,SNOMEDCT,292927007,Adverse reaction to neomycin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Neomycin,RXNORM,866042,Neomycin sulfate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allergy to Pneumococcal Conjugate Vaccine,SNOMEDCT,293116002,Pneumococcal vaccine adverse reaction (disorder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
