Value Set Name,Code Type,Code,Brand name,Generic product name,Route,Description,Drug ID
CDC-A_2016,NDC,00026286251,Precose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00054014225,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00115115201,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00115115202,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00378282210,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00378282277,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,16252052501,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,23155014901,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,47781034201,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,50419086251,Precose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,51862021201,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,64380076006,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,76439012210,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,76439012211,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00026286351,Precose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00054014025,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00115115001,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00115115002,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00378282010,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,00378282077,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,16252052301,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,23155014701,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,47781034001,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,50419086351,Precose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,51862021001,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54868583100,Precose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54868583101,Precose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54868594500,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
