code_type,code_value,description,hcc_id
ICD10CM,B20,Human immunodeficiency virus [HIV] disease,1
ICD10CM,B97.35,"Human immunodeficiency virus, type 2 [HIV 2] as the cause of diseases classified elsewhere",1
ICD10CM,Z21,Asymptomatic human immunodeficiency virus [HIV] infection status,1
ICD10CM,A02.1,Salmonella sepsis,2
ICD10CM,A20.7,Septicemic plague,2
ICD10CM,A22.7,Anthrax sepsis,2
ICD10CM,A26.7,Erysipelothrix sepsis,2
ICD10CM,A32.7,Listerial sepsis,2
ICD10CM,A39.2,Acute meningococcemia,2
ICD10CM,A39.3,Chronic meningococcemia,2
ICD10CM,A39.4,"Meningococcemia, unspecified",2
ICD10CM,A40.0,"Sepsis due to streptococcus, group A",2
ICD10CM,A40.1,"Sepsis due to streptococcus, group B",2
ICD10CM,A40.3,Sepsis due to Streptococcus pneumoniae,2
ICD10CM,A40.8,Other streptococcal sepsis,2
ICD10CM,A40.9,"Streptococcal sepsis, unspecified",2
ICD10CM,A41.01,Sepsis due to Methicillin susceptible Staphylococcus aureus,2
ICD10CM,A41.02,Sepsis due to Methicillin resistant Staphylococcus aureus,2
ICD10CM,A41.1,Sepsis due to other specified staphylococcus,2
ICD10CM,A41.2,Sepsis due to unspecified staphylococcus,2
ICD10CM,A41.3,Sepsis due to Hemophilus influenzae,2
ICD10CM,A41.4,Sepsis due to anaerobes,2
ICD10CM,A41.50,"Gram-negative sepsis, unspecified",2
ICD10CM,A41.51,Sepsis due to Escherichia coli [E. coli],2
ICD10CM,A41.52,Sepsis due to Pseudomonas,2
ICD10CM,A41.53,Sepsis due to Serratia,2
ICD10CM,A41.59,Other Gram-negative sepsis,2
ICD10CM,A41.81,Sepsis due to Enterococcus,2
ICD10CM,A41.89,Other specified sepsis,2
ICD10CM,A41.9,"Sepsis, unspecified organism",2
ICD10CM,A42.7,Actinomycotic sepsis,2
ICD10CM,A48.3,Toxic shock syndrome,2
ICD10CM,A54.86,Gonococcal sepsis,2
ICD10CM,B00.7,Disseminated herpesviral disease,2
ICD10CM,B37.7,Candidal sepsis,2
