Value Set Name,Code System,Code,Code Description,,,
Post-Menopausal,ICD10CM,N95.0,Postmenopausal bleeding,,,
Post-Menopausal,ICD9CM,627.1,Postmenopausal bleeding,,,
Post-Menopausal,ICD10CM,N95.1,Menopausal and female climacteric states,,,
Post-Menopausal,ICD9CM,627.2,Symptomatic menopausal or female climacteric states,,,
Post-Menopausal,ICD10CM,N95.2,Postmenopausal atrophic vaginitis,,,
Post-Menopausal,ICD9CM,627.3,Postmenopausal atrophic vaginitis,,,
Post-Menopausal,ICD10CM,E28.31,Premature menopause,,,
Post-Menopausal,ICD10CM,E28.310,Symptomatic premature menopause,,,
Post-Menopausal,ICD9CM,256.31,Premature menopause,,,
Post-Menopausal,ICD10CM,E28.319,Asymptomatic premature menopause,,,
Post-Menopausal,ICD10CM,Z78.0,Asymptomatic menopausal state,,,
Post-Menopausal,ICD9CM,V49.81,Asymptomatic postmenopausal status (age-related) (natural),,,
Post-Menopausal,SNOMEDCT,20045006,Delayed menopause,,,
Post-Menopausal,SNOMEDCT,423478005,Difficulty managing menopause,,,
Post-Menopausal,SNOMEDCT,289903006,Menopause present,,,
Post-Menopausal,SNOMEDCT,76498008,Postmenopausal state,,,
Post-Menopausal,SNOMEDCT,198436008,Menopausal flushing,,,
Post-Menopausal,SNOMEDCT,237123000,Normal menopause,,,
Post-Menopausal,SNOMEDCT,68811000,Menopausal problem,,,
Post-Menopausal,SNOMEDCT,373717006,Premature menopause,,,
Post-Menopausal,SNOMEDCT,21801002,Menopausal symptom,,,
Post-Menopausal,SNOMEDCT,123756000,Menopausal syndrome,,,
Post-Menopausal,SNOMEDCT,278063007,Post-hysterectomy menopause,,,
Post-Menopausal,SNOMEDCT,371036001,Postsurgical menopause,,,
Post-Menopausal,SNOMEDCT,31351009,Postartificial menopausal syndrome,,,
Post-Menopausal,SNOMEDCT,278064001,Post-radiation menopause,,,
Post-Menopausal,SNOMEDCT,402804002,Dermatosis of menopause,,,
Post-Menopausal,SNOMEDCT,735614005,Osteopenia following menopause,,,
Post-Menopausal,SNOMEDCT,237138004,Menopause ovarian failure ,,,
Female Surgical Sterilization,SNOMEDCT,60890002,Female sterilization,,,
Female Surgical Sterilization,SNOMEDCT,52932002,Ligation of fallopian tubes by vaginal approach,,,
Female Surgical Sterilization,SNOMEDCT,4640005,Ligation of fallopian tubes by abdominal approach,,,
Female Surgical Sterilization,SNOMEDCT,85855000,Partial bilateral salpingectomy for sterilisation by endoscopy,,,
Female Surgical Sterilization,SNOMEDCT,40074008,Bilateral ligation and crushing of fallopian tubes,,,
Female Surgical Sterilization,SNOMEDCT,77543007,Ligation of fallopian tube,,,
Female Surgical Sterilization,SNOMEDCT,274979003,Open ringing of right fallopian tube,,,
Female Surgical Sterilization,SNOMEDCT,46423003,Incidental ligation of fallopian tubes,,,
Female Surgical Sterilization,SNOMEDCT,265076001,Open clipping of left fallopian tube,,,
Female Surgical Sterilization,SNOMEDCT,274980000,Open ringing of left fallopian tube,,,
Female Surgical Sterilization,SNOMEDCT,10516001,Postpartum ligation of fallopian tubes,,,
Female Surgical Sterilization,SNOMEDCT,16226000,Laparoscopic sterilisation,,,
Female Surgical Sterilization,SNOMEDCT,259324000,Ligation of fallopian tube with crushing,,,
Female Surgical Sterilization,SNOMEDCT,8550006,Partial bilateral salpingectomy for sterilization,,,
Female Surgical Sterilization,SNOMEDCT,265075002,Open clipping of right fallopian tube,,,
Female Surgical Sterilization,SNOMEDCT,63626003,Bilateral endoscopic ligation and division of fallopian tubes,,,
Female Surgical Sterilization,SNOMEDCT,176978005,Endoscopic bilateral cauterisation of fallopian tubes,,,
Female Surgical Sterilization,SNOMEDCT,17358000,Bilateral segmental tubal excision and ligation by endoscopy,,,
Female Surgical Sterilization,SNOMEDCT,10882000,Bilateral ligation and division of fallopian tubes,,,
Female Surgical Sterilization,CPT,58600,"Ligation or transection of fallopian tube(s), abdominal or vaginal approach, unilateral or bilateral",,,
Female Surgical Sterilization,CPT,58605,"Ligation or transection of fallopian tube(s), abdominal or vaginal approach, postpartum, unilateral or bilateral, during same hospitalization (separate procedure)",,,
Female Surgical Sterilization,CPT,58611,Ligation or transection of fallopian tube(s) when done at the time of cesarean delivery or intra-abdominal surgery (not a separate procedure) (List separately in addition to code for primary procedure),,,
Female Surgical Sterilization,CPT,58615,"Occlusion of fallopian tube(s) by device (eg, band, clip, Falope ring) vaginal or suprapubic approach",,,
Female Surgical Sterilization,CPT,58670,"Laparoscopy, surgical; with fulguration of oviducts (with or without transection)",,,
Female Surgical Sterilization,CPT,58671,"Laparoscopy, surgical; with occlusion of oviducts by device (eg, band, clip, or Falope ring)",,,
Female Surgical Sterilization,ICD10CM,Z98.51,Tubal ligation status,,,
Female Surgical Sterilization,ICD9CM,V26.51,Tubal ligation status,,,
Female Surgical Sterilization,ICD10CM,N97.1,Female infertility of tubal origin,,,
Female Surgical Sterilization,ICD9CM,628.2,"Infertility, female, of tubal origin",,,
Dyslexia,SNOMEDCT,192138007,Developmental dyslexia (disorder),,,
Dyslexia,ICD9CM,315.02,Developmental dyslexia,,,
Dyslexia,ICD10CM,R48.0,Dyslexia and alexia,,,
Genetic Neurodevelopmental Disorder,ICD10CM,Q90.9,"Down syndrome, unspecified",,,
Genetic Neurodevelopmental Disorder,SNOMEDCT,41040004,Down syndrome,,,
Genetic Neurodevelopmental Disorder,ICD9CM,758,Down's syndrome,,,
Genetic Neurodevelopmental Disorder,SNOMEDCT,613003,Fragile X syndrome (disorder),,,
Genetic Neurodevelopmental Disorder,ICD10CM,Q99.2,Fragile X chromosome,,,
Genetic Neurodevelopmental Disorder,ICD9CM,759.83,Fragile X chromosome,,,
Genetic Neurodevelopmental Disorder,SNOMEDCT,721846006,"Hypomyelination, hypogonadotropic hypogonadism, hypodontia syndrome (disorder)",,,
Genetic Neurodevelopmental Disorder,SNOMEDCT,722380003,Congenital cataract with intellectual disability and hypogonadotropic hypogonadism syndrome (disorder),,,
Encephalopathy,SNOMEDCT,192811002,Alcoholic encephalopathy (disorder),,2019-03,2.16.840.1.113883.6.96
Encephalopathy,ICD9CM,572.2,Hepatic encephalopathy,,,
Encephalopathy,ICD10CM,K72.90,"Hepatic failure, unspecified without coma",,,
Encephalopathy,ICD10CM,K72.91,"Hepatic failure, unspecified with coma",,,
Encephalopathy,ICD10CM,E51.2,Wernicke's encephalopathy,,,
Encephalopathy,ICD9CM,265.1,Other and unspecified manifestations of thiamine deficiency,,,
Encephalopathy,ICD10CM,G04.3,Acute necrotizing hemorrhagic encephalopathy,,,
Encephalopathy,ICD10CM,G04.30,"Acute necrotizing hemorrhagic encephalopathy, unspecified",,,
Encephalopathy,ICD9CM,323.62,Other postinfectious encephalitis and encephalomyelitis,,,
Encephalopathy,ICD10CM,G04.31,Postinfectious acute necrotizing hemorrhagic encephalopathy,,,
Encephalopathy,ICD9CM,323.62,Other postinfectious encephalitis and encephalomyelitis,,,
Encephalopathy,ICD10CM,G04.32,Postimmunization acute necrotizing hemorrhagic encephalopathy,,,
Encephalopathy,ICD9CM,323.51,Encephalitis and encephalomyelitis following immunization procedures,,,
Encephalopathy,ICD10CM,G04.39,Other acute necrotizing hemorrhagic encephalopathy,,,
Encephalopathy,ICD9CM,323.61,Infectious acute disseminated encephalomyelitis (ADEM),,,
Encephalopathy,ICD10CM,G92,Toxic encephalopathy,,,
Encephalopathy,ICD9CM,323.71,Toxic encephalitis and encephalomyelitis,,,
Encephalopathy,ICD9CM,323.72,Toxic myelitis,,,
Encephalopathy,ICD9CM,349.82,Toxic encephalopathy,,,
Encephalopathy,ICD10CM,G93.4,Other and unspecified encephalopathy,,,
Encephalopathy,ICD10CM,G93.40,"Encephalopathy, unspecified",,,
Encephalopathy,ICD9CM,348.3,"Encephalopathy, unspecified",,,
Encephalopathy,ICD10CM,G93.41,Metabolic encephalopathy,,,
Encephalopathy,ICD9CM,348.31,Metabolic encephalopathy,,,
Encephalopathy,ICD10CM,G93.49,Other encephalopathy,,,
Encephalopathy,ICD9CM,348.39,Other encephalopathy,,,
Encephalopathy,ICD10CM,I67.4,Hypertensive encephalopathy,,,
Encephalopathy,ICD9CM,437.2,Hypertensive encephalopathy,,,
Encephalopathy,ICD10CM,I67.83,Posterior reversible encephalopathy syndrome,,,
Encephalopathy,ICD10CM,J10.81,Influenza due to other identified influenza virus with encephalopathy,,,
Encephalopathy,ICD10CM,J11.81,Influenza due to unidentified influenza virus with encephalopathy,,,
Encephalopathy,ICD10CM,P91.6,Hypoxic ischemic encephalopathy [HIE],,,
Encephalopathy,ICD10CM,P91.60,"Hypoxic ischemic encephalopathy [HIE], unspecified",,,
Encephalopathy,ICD9CM,768.7,"Hypoxic-ischemic encephalopathy, unspecified",,,
Encephalopathy,ICD10CM,P91.61,Mild hypoxic ischemic encephalopathy [HIE],,,
Encephalopathy,ICD9CM,768.71,Mild hypoxic-ischemic encephalopathy,,,
Encephalopathy,ICD10CM,P91.62,Moderate hypoxic ischemic encephalopathy [HIE],,,
Encephalopathy,ICD9CM,768.72,Moderate hypoxic ischemic encephalopathy [HIE],,,
Encephalopathy,ICD10CM,P91.63,Severe hypoxic ischemic encephalopathy [HIE],,,
Encephalopathy,ICD9CM,768.73,Severe hypoxic ischemic encephalopathy [HIE],,,
Encephalopathy,SNOMEDCT,81308009,Encephalopathy,,,
Encephalopathy,SNOMEDCT,246542004,Complex part seizure with impairment of consciousness only,,,
Encephalopathy,SNOMEDCT,246548000,Absence seizure with mild clonic components,,,
Encephalopathy,SNOMEDCT,23374007,Atypical absence seizure,,,
Encephalopathy,SNOMEDCT,34601006,Somatosensory seizure,,,
Encephalopathy,SNOMEDCT,864171000000103,Non-epileptic attack disorder,,,
Encephalopathy,SNOMEDCT,76011009,Non-specific brain syndrome,,,
Encephalopathy,SNOMEDCT,123760002,Prepuberal panhypopituitarism,,,
Encephalopathy,SNOMEDCT,230348008,Palatal-tympanic myoclonus,,,
Encephalopathy,SNOMEDCT,230475002,Chronic cluster headache evolved from episodic cluster headache,,,
Encephalopathy,SNOMEDCT,230431001,Situation-related seizures,,,
Encephalopathy,SNOMEDCT,246537007,Affective seizure,,,
Encephalopathy,SNOMEDCT,246531008,Postural seizure,,,
Encephalopathy,SNOMEDCT,82401000,Simple partial seizure with motor dysfunction,,,
Encephalopathy,SNOMEDCT,703522009,Biotin-thiamine-responsive basal ganglia disease,,,
Encephalopathy,SNOMEDCT,702611008,Congenital brain aplasia,,,
Encephalopathy,SNOMEDCT,702427005,Hereditary diffuse leukoencephalopathy with spheroids,,,
Encephalopathy,SNOMEDCT,18894005,Legal termination of pregnancy with cerebral anoxia,,,
Encephalopathy,SNOMEDCT,702320006,Triplegic cerebral palsy,,,
Encephalopathy,SNOMEDCT,702379005,Hypomyelination and congenital cataract,,,
Encephalopathy,SNOMEDCT,6537000,Ectopic pituitary tissue,,,
Encephalopathy,SNOMEDCT,246532001,Phonatory seizure,,,
Encephalopathy,SNOMEDCT,246540007,Simple partial seizure followed by impaired consciousness,,,
Encephalopathy,SNOMEDCT,61927004,Auditory seizure,,,
Encephalopathy,SNOMEDCT,60338000,Partial seizure with multiple symptoms,,,
Encephalopathy,SNOMEDCT,190471009,Post-birth injury panhypopituitarism,,,
Encephalopathy,SNOMEDCT,425522009,Hyperammonemic encephalopathy,,,
Encephalopathy,SNOMEDCT,431961000124104,"Benign occipital epilepsy of childhood - late onset, refractory",,,
Encephalopathy,SNOMEDCT,29702001,Aphasia-left parietal lobe syndrome,,,
Encephalopathy,SNOMEDCT,230759001,Vasogenic cerebral edema,,,
Encephalopathy,SNOMEDCT,281509000,Hypoxic-ischemic coma,,,
Encephalopathy,SNOMEDCT,246535004,Dysphasic seizure,,,
Encephalopathy,SNOMEDCT,29963001,Dysmnesic seizure,,,
Encephalopathy,SNOMEDCT,246552000,Absence seizure with autonomic components,,,
Encephalopathy,SNOMEDCT,344521000009104,Leukoencephalomyelopathy of Rottweilers,,,
Encephalopathy,SNOMEDCT,352641000009100,Equine degenerative myeloencephalopathy,,,
Encephalopathy,SNOMEDCT,123758004,Complex pituitary endocrine disorder,,,
