Value Set Name,Code Type,Code,Brand name,Generic product name,Route,Description,Drug ID
CDC-A_2016,NDC,26286251,Precose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54014225,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,115115201,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,115115202,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,378282210,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,378282277,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,16252052501,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,23155014901,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,47781034201,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,50419086251,Precose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,51862021201,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,64380076006,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,76439012210,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,76439012211,Acarbose,acarbose 100 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,26286351,Precose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54014025,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,115115001,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,115115002,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,378282010,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,378282077,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,16252052301,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,23155014701,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,47781034001,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,50419086351,Precose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,51862021001,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54868583100,Precose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54868583101,Precose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54868594500,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,64380075806,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,76439012010,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,76439012011,Acarbose,acarbose 25 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,26286148,Precose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,26286151,Precose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54014120,Acarbose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,54014125,Acarbose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,115115101,Acarbose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,115115102,Acarbose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,378282110,Acarbose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,378282177,Acarbose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,16252052401,Acarbose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,23155014801,Acarbose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
CDC-A_2016,NDC,47781034101,Acarbose,acarbose 50 mg oral tablet,oral,Alpha-glucosidase inhibitors,
